I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: compute02
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:356] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.99  Mon Jul  4 23:52:14 PDT 2016
GCC version:  gcc version 4.8.5 20150623 (Red Hat 4.8.5-4) (GCC) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.99.0
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:293] kernel version seems to match DSO: 352.99.0
Running with stride 3 and seed 3000
(1, 228, 117660)
47
(181, 117660)
3520
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.0425532, cost 59986
step 0, training (test) accuracy 0.0425532, cost 38919.7
step 0, training (test) accuracy 0.0638298, cost 22759.4
step 0, training (test) accuracy 0.0212766, cost 18569
step 25, training (test) accuracy 0.531915, cost 255.687
step 25, training (test) accuracy 0.489362, cost 245.929
step 25, training (test) accuracy 0.468085, cost 242.777
step 25, training (test) accuracy 0.446809, cost 240.799
step 50, training (test) accuracy 0.531915, cost 131.546
step 50, training (test) accuracy 0.531915, cost 133.817
step 50, training (test) accuracy 0.531915, cost 136.099
step 50, training (test) accuracy 0.510638, cost 137.753
step 75, training (test) accuracy 0.553191, cost 103.184
step 75, training (test) accuracy 0.574468, cost 100.848
step 75, training (test) accuracy 0.553191, cost 100.231
step 75, training (test) accuracy 0.510638, cost 100.339
step 100, training (test) accuracy 0.617021, cost 85.1226
step 100, training (test) accuracy 0.638298, cost 85.6239
step 100, training (test) accuracy 0.617021, cost 85.3302
step 100, training (test) accuracy 0.638298, cost 84.8629
step 125, training (test) accuracy 0.574468, cost 83.2763
step 125, training (test) accuracy 0.553191, cost 82.2509
step 125, training (test) accuracy 0.553191, cost 80.7891
step 125, training (test) accuracy 0.553191, cost 81.3848
step 150, training (test) accuracy 0.574468, cost 97.4091
step 150, training (test) accuracy 0.574468, cost 97.4312
step 150, training (test) accuracy 0.595745, cost 95.2371
step 150, training (test) accuracy 0.574468, cost 95.3354
step 175, training (test) accuracy 0.638298, cost 69.2459
step 175, training (test) accuracy 0.617021, cost 69.7684
step 175, training (test) accuracy 0.659574, cost 69.1036
step 175, training (test) accuracy 0.659574, cost 69.9211
step 200, training (test) accuracy 0.638298, cost 87.5137
step 200, training (test) accuracy 0.638298, cost 87.6024
step 200, training (test) accuracy 0.638298, cost 85.2416
step 200, training (test) accuracy 0.638298, cost 83.3827
step 225, training (test) accuracy 0.574468, cost 86.5709
step 225, training (test) accuracy 0.574468, cost 88.6576
step 225, training (test) accuracy 0.574468, cost 91.5511
step 225, training (test) accuracy 0.574468, cost 94.1294
step 250, training (test) accuracy 0.595745, cost 77.0479
step 250, training (test) accuracy 0.595745, cost 76.2214
step 250, training (test) accuracy 0.574468, cost 72.6003
step 250, training (test) accuracy 0.574468, cost 71.0731
step 275, training (test) accuracy 0.617021, cost 82.808
step 275, training (test) accuracy 0.617021, cost 80.5782
step 275, training (test) accuracy 0.617021, cost 77.7204
step 275, training (test) accuracy 0.617021, cost 75.8744
step 300, training (test) accuracy 0.659574, cost 80.9121
step 300, training (test) accuracy 0.659574, cost 81.798
step 300, training (test) accuracy 0.638298, cost 81.6397
step 300, training (test) accuracy 0.638298, cost 78.7449
step 325, training (test) accuracy 0.702128, cost 76.6689
step 325, training (test) accuracy 0.702128, cost 77.8933
step 325, training (test) accuracy 0.702128, cost 78.6594
