I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:03:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x24ff2720
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:83:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla K20m, pci bus id: 0000:83:00.0)
Running with stride 3 and seed 3000
(1, 196, 117660)
(156, 117660)
3520
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.025, cost 59509.2
step 0, training (test) accuracy 0.025, cost 39536.1
step 0, training (test) accuracy 0.05, cost 23519.8
step 0, training (test) accuracy 0.025, cost 17584.9
step 25, training (test) accuracy 0.275, cost 383.208
step 25, training (test) accuracy 0.325, cost 371.744
step 25, training (test) accuracy 0.375, cost 354.635
step 25, training (test) accuracy 0.35, cost 338.594
step 50, training (test) accuracy 0.5, cost 136.294
step 50, training (test) accuracy 0.5, cost 144.945
step 50, training (test) accuracy 0.5, cost 133.886
step 50, training (test) accuracy 0.5, cost 127.409
step 75, training (test) accuracy 0.55, cost 113.04
step 75, training (test) accuracy 0.525, cost 117.682
step 75, training (test) accuracy 0.525, cost 111.88
step 75, training (test) accuracy 0.525, cost 110.716
step 100, training (test) accuracy 0.55, cost 82.1167
step 100, training (test) accuracy 0.55, cost 81.1451
step 100, training (test) accuracy 0.55, cost 78.4609
step 100, training (test) accuracy 0.575, cost 76.7576
step 125, training (test) accuracy 0.55, cost 71.3136
step 125, training (test) accuracy 0.55, cost 71.465
step 125, training (test) accuracy 0.55, cost 72.3867
step 125, training (test) accuracy 0.55, cost 71.1253
step 150, training (test) accuracy 0.525, cost 69.6546
step 150, training (test) accuracy 0.5, cost 69.58
step 150, training (test) accuracy 0.525, cost 65.6403
step 150, training (test) accuracy 0.525, cost 62.6933
step 175, training (test) accuracy 0.55, cost 86.6921
step 175, training (test) accuracy 0.55, cost 86.897
step 175, training (test) accuracy 0.55, cost 87.1738
step 175, training (test) accuracy 0.575, cost 86.7953
step 200, training (test) accuracy 0.575, cost 79.1205
step 200, training (test) accuracy 0.55, cost 80.491
step 200, training (test) accuracy 0.55, cost 82.2118
step 200, training (test) accuracy 0.525, cost 82.7992
step 225, training (test) accuracy 0.575, cost 63.6141
step 225, training (test) accuracy 0.6, cost 62.0895
step 225, training (test) accuracy 0.625, cost 61.2179
step 225, training (test) accuracy 0.65, cost 60.945
step 250, training (test) accuracy 0.5, cost 67.2007
step 250, training (test) accuracy 0.55, cost 62.1281
step 250, training (test) accuracy 0.525, cost 59.0784
step 250, training (test) accuracy 0.6, cost 57.9973
step 275, training (test) accuracy 0.55, cost 69.2049
step 275, training (test) accuracy 0.55, cost 69.496
step 275, training (test) accuracy 0.575, cost 70.2202
step 275, training (test) accuracy 0.625, cost 70.0876
