I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:03:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x24ff2720
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:83:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla K20m, pci bus id: 0000:83:00.0)


Running with stride 7 and seed 3000
(1, 196, 117660)
(156, 117660)
704
(?, 600)
(?, 100)
started learning...
step 0, training (test) accuracy 0.025, cost 29892.3
step 0, training (test) accuracy 0.025, cost 24737.2
step 0, training (test) accuracy 0.025, cost 20260.2
step 0, training (test) accuracy 0.025, cost 16425.3
step 25, training (test) accuracy 0.3, cost 241.37
step 25, training (test) accuracy 0.325, cost 230.327
step 25, training (test) accuracy 0.325, cost 222.705
step 25, training (test) accuracy 0.325, cost 218
step 50, training (test) accuracy 0.25, cost 100.398
step 50, training (test) accuracy 0.25, cost 94.6846
step 50, training (test) accuracy 0.275, cost 89.6059
step 50, training (test) accuracy 0.25, cost 88.607
step 75, training (test) accuracy 0.325, cost 47.3679
step 75, training (test) accuracy 0.375, cost 46.6857
step 75, training (test) accuracy 0.35, cost 46.2846
step 75, training (test) accuracy 0.4, cost 47.0405
step 100, training (test) accuracy 0.425, cost 44.3586
step 100, training (test) accuracy 0.45, cost 44.199
step 100, training (test) accuracy 0.425, cost 43.7743
step 100, training (test) accuracy 0.425, cost 43.4902
step 125, training (test) accuracy 0.35, cost 45.2415
step 125, training (test) accuracy 0.425, cost 39.0333
step 125, training (test) accuracy 0.425, cost 37.1336
step 125, training (test) accuracy 0.45, cost 37.3669
step 150, training (test) accuracy 0.5, cost 33.5162
step 150, training (test) accuracy 0.5, cost 33.2338
step 150, training (test) accuracy 0.5, cost 33.2115
step 150, training (test) accuracy 0.45, cost 33.2931
step 175, training (test) accuracy 0.375, cost 38.9382
step 175, training (test) accuracy 0.325, cost 39.8764
step 175, training (test) accuracy 0.35, cost 40.3304
step 175, training (test) accuracy 0.375, cost 40.5646
step 200, training (test) accuracy 0.475, cost 33.224
step 200, training (test) accuracy 0.425, cost 32.8804
step 200, training (test) accuracy 0.425, cost 32.7039
step 200, training (test) accuracy 0.4, cost 32.223
step 225, training (test) accuracy 0.45, cost 35.3694
step 225, training (test) accuracy 0.45, cost 35.0357
step 225, training (test) accuracy 0.45, cost 34.7086
step 225, training (test) accuracy 0.45, cost 34.4472
step 250, training (test) accuracy 0.45, cost 34.7604
step 250, training (test) accuracy 0.475, cost 34.4374
step 250, training (test) accuracy 0.475, cost 34.1039
step 250, training (test) accuracy 0.475, cost 33.9942
step 275, training (test) accuracy 0.45, cost 32.9143
step 275, training (test) accuracy 0.45, cost 33.109
step 275, training (test) accuracy 0.45, cost 33.1277
step 275, training (test) accuracy 0.475, cost 33.2235
step 300, training (test) accuracy 0.45, cost 33.7741
step 300, training (test) accuracy 0.475, cost 33.767
step 300, training (test) accuracy 0.475, cost 33.6053
step 300, training (test) accuracy 0.475, cost 33.4343
step 325, training (test) accuracy 0.45, cost 29.1535
step 325, training (test) accuracy 0.45, cost 29.1521
step 325, training (test) accuracy 0.45, cost 29.1782
step 325, training (test) accuracy 0.45, cost 29.3267
step 350, training (test) accuracy 0.5, cost 29.7994
step 350, training (test) accuracy 0.475, cost 30.2659
step 350, training (test) accuracy 0.5, cost 30.6725
step 350, training (test) accuracy 0.5, cost 30.9558
step 375, training (test) accuracy 0.45, cost 34.2338
step 375, training (test) accuracy 0.45, cost 34.0065
step 375, training (test) accuracy 0.45, cost 33.7723
step 375, training (test) accuracy 0.45, cost 33.6046
step 400, training (test) accuracy 0.575, cost 30.6553
step 400, training (test) accuracy 0.525, cost 30.6305
step 400, training (test) accuracy 0.5, cost 30.5495
step 400, training (test) accuracy 0.475, cost 30.572
step 425, training (test) accuracy 0.5, cost 31.0522
step 425, training (test) accuracy 0.5, cost 31.1819
step 425, training (test) accuracy 0.475, cost 31.4849
step 425, training (test) accuracy 0.475, cost 31.8035
step 450, training (test) accuracy 0.425, cost 31.78
step 450, training (test) accuracy 0.45, cost 31.833
step 450, training (test) accuracy 0.45, cost 31.5571
step 450, training (test) accuracy 0.45, cost 31.2247
step 475, training (test) accuracy 0.45, cost 30.8534
step 475, training (test) accuracy 0.475, cost 30.8198
step 475, training (test) accuracy 0.475, cost 30.7877
step 475, training (test) accuracy 0.475, cost 30.7538
step 500, training (test) accuracy 0.525, cost 30.7595
step 500, training (test) accuracy 0.525, cost 30.8966
step 500, training (test) accuracy 0.525, cost 31.0641
step 500, training (test) accuracy 0.525, cost 31.2279
step 525, training (test) accuracy 0.45, cost 31.3113
step 525, training (test) accuracy 0.45, cost 31.1418
step 525, training (test) accuracy 0.45, cost 31.0191
step 525, training (test) accuracy 0.45, cost 30.7571
step 550, training (test) accuracy 0.475, cost 33.5846
step 550, training (test) accuracy 0.475, cost 33.898
step 550, training (test) accuracy 0.475, cost 34.4346
step 550, training (test) accuracy 0.475, cost 34.9238
step 575, training (test) accuracy 0.475, cost 32.0801
step 575, training (test) accuracy 0.475, cost 31.9156
step 575, training (test) accuracy 0.475, cost 31.794
step 575, training (test) accuracy 0.475, cost 31.7066
step 600, training (test) accuracy 0.6, cost 34.8153
step 600, training (test) accuracy 0.575, cost 34.955
step 600, training (test) accuracy 0.575, cost 34.9803
step 600, training (test) accuracy 0.575, cost 35.0007
step 625, training (test) accuracy 0.425, cost 39.3118
step 625, training (test) accuracy 0.425, cost 39.5741
step 625, training (test) accuracy 0.425, cost 39.7643
step 625, training (test) accuracy 0.425, cost 39.9233
step 650, training (test) accuracy 0.425, cost 36.6259
step 650, training (test) accuracy 0.425, cost 36.8878
step 650, training (test) accuracy 0.425, cost 36.998
step 650, training (test) accuracy 0.425, cost 37.0052
step 675, training (test) accuracy 0.525, cost 31.3279
step 675, training (test) accuracy 0.55, cost 30.9087
step 675, training (test) accuracy 0.55, cost 30.4735
step 675, training (test) accuracy 0.55, cost 30.0885
step 700, training (test) accuracy 0.525, cost 32.3835
step 700, training (test) accuracy 0.525, cost 32.8292
step 700, training (test) accuracy 0.55, cost 33.1059
step 700, training (test) accuracy 0.525, cost 33.3908
step 725, training (test) accuracy 0.525, cost 31.8
step 725, training (test) accuracy 0.525, cost 32.1727
step 725, training (test) accuracy 0.525, cost 32.4742
step 725, training (test) accuracy 0.525, cost 32.6946
step 750, training (test) accuracy 0.55, cost 35.0843
